# Updated at 2025-04-02T04:55:55.771803
Title|Link|Discounted Price|Original Price|Discount
Hatsune Miku Summer Fireworks ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144439|22,900 JPY|32,780 JPY|30.14%
Movie "Fate/stay night [Heaven's Feel]" Sakura Matou Makiri's Grail Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152801|26,980 JPY|33,880 JPY|20.37%
Halloween Succubus 1/7 Complete Figure Deluxe Edition|https://www.amiami.com/eng/detail/?gcode=FIGURE-147679|15,500 JPY|35,750 JPY|56.64%
Hatsune Miku 1/7 Scale Figure - Birthday 2021 (Pretty Rabbit Ver.) by Spiritale|https://www.amiami.com/eng/detail/?gcode=FIGURE-141052|22,880 JPY|28,600 JPY|20.0%
Fate/kaleid liner Prisma Illya Licht The Nameless Girl Illya Anime Start 10th Anniversary Tenshin Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172125|20,690 JPY|21,780 JPY|5.0%
[Bonus] Genshin Impact Xiao, Guardian Yaksha Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144784|23,220 JPY|25,800 JPY|10.0%
[Bonus] Girls' Frontline OTs-14 Divinely-Favoured Beauty Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-157173|19,800 JPY|20,900 JPY|5.26%
PRISMA WING No Game No Life Zero Schwi 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-140605|16,445 JPY|32,890 JPY|50.0%
MY LITTLE PONY Bishoujo Pinkie Pie 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173041|16,720 JPY|17,600 JPY|5.0%
Arknights Ch'en Spring Festival VER. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-150097|10,000 JPY|23,000 JPY|56.52%
Maiden Voyage EchiEchi Bad Maid Illustration by Nana Shichiken 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154920|15,246 JPY|21,780 JPY|30.0%
Ijuu Senki Series: Tactician Mianji Limited Distribution 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155581|15,840 JPY|26,400 JPY|40.0%
Punishing: Gray Raven No.21:XXI Solar Frost ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162378|17,320 JPY|24,750 JPY|30.02%
Chainsaw Man Aki Hayakawa 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-150852|29,500 JPY|42,350 JPY|30.34%
GIRLS FROM HELL Viola 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-148811|14,740 JPY|29,480 JPY|50.0%
[Exclusive Sale] Fate/Samurai Remnant Berserker/Miyamoto Musashi 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155321|23,800 JPY|28,000 JPY|15.0%
Hatsune Miku x MTV 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162453|23,370 JPY|27,500 JPY|15.02%
KDcolle Alya Sometimes Hides Her Feelings in Russian Yuki Suou: vacation swimsuit ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-179417|20,790 JPY|23,100 JPY|10.0%
Re:ZERO -Starting Life in Another World- Rem Aqua Orb Ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144536|23,100 JPY|33,000 JPY|30.0%
Girls' Frontline Zas M21 Affections Behind the Bouquet 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162165|25,330 JPY|29,800 JPY|15.0%
[Exclusive Sale] FALSLANDER SAMURAI 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-134815|14,850 JPY|24,750 JPY|40.0%
Toridamono Original Mira 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164278|19,900 JPY|23,980 JPY|17.01%
MY LITTLE PONY BISHOUJO Twilight Sparkle 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173924|16,720 JPY|17,600 JPY|5.0%
Hatsune Miku 1/7 HATSUNE MIKU EXPO 2023 VR ver. Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173893|28,770 JPY|29,975 JPY|4.02%
Azur Lane Unicorn 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146112|9,590 JPY|23,980 JPY|60.01%
Azur Lane Formidable Barairo no Seiten Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165967|26,400 JPY|26,950 JPY|2.04%
Akebi-chan no Sailor Fuku Komichi Akebi 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-168573|19,640 JPY|20,680 JPY|5.03%
TV Anime "NieR:Automata Ver1.1a" 9S (YoRHa No.9 Type S) -Yuugeki- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172131|23,560 JPY|27,720 JPY|15.01%
KDcolle Bungo Stray Dogs Chuya Nakahara Original Series Age Fifteen Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165435|17,420 JPY|19,800 JPY|12.02%
HORROR BISHOUJO BEETLEJUICE Beetlejuice 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-174604|16,720 JPY|17,600 JPY|5.0%
[AmiAmi Exclusive Bonus] PRISMA WING Tokyo Revengers Manjiro Sano 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152663|15,345 JPY|30,690 JPY|50.0%
Fate/Grand Order Assassin/Okita J Souji (First Ascension) 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-165439|24,120 JPY|28,380 JPY|15.01%
Overlord Albedo White Dress 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147021|30,800 JPY|44,000 JPY|30.0%
Girls' Frontline ZB-26 Nook of Ephemeral Dreams Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-152083|11,440 JPY|22,880 JPY|50.0%
Re:ZERO -Starting Life in Another World- Ram Jewel Princess 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-176401|3,980 JPY|4,290 JPY|7.23%
[F:NEX x POPPRO] Hatsune Miku 2023 Chinese New Year Ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-150035|22,800 JPY|32,780 JPY|30.45%
Date A Live 1/7 Kurumi Tokisaki [Rasiel] ver. Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173892|28,510 JPY|29,700 JPY|4.01%
Miss Kobayashi's Dragon Maid Kanna China Dress ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-148054|23,100 JPY|33,000 JPY|30.0%
[Bonus] League of Legends K/DA Akali 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-162825|18,350 JPY|18,920 JPY|3.01%
Azur Lane Prinz Eugen 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146490|35,900 JPY|44,880 JPY|20.01%
Ijuu Senki Series: Sniper Karihime Limited Distribution 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155583|19,800 JPY|26,400 JPY|25.0%
Date A Live IV Kurumi Tokisaki -Lingerie Swimsuit ver.- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147045|28,160 JPY|35,200 JPY|20.0%
